MPPS,LATENCY,FREQ,SLEEP_MODE,CPU,SLEEP_DELTA
4,78,4000,no_sleep,2,1
4,79,4000,no_sleep,2,1
4,80,4000,no_sleep,2,1
4,81,4000,no_sleep,2,1
4,82,4000,no_sleep,2,1
4,83,4000,no_sleep,2,1
4,84,4000,no_sleep,2,1
4,85,4000,no_sleep,2,1
4,86,4000,no_sleep,2,1
4,87,4000,no_sleep,2,1
4,88,4000,no_sleep,2,1
4,89,4000,no_sleep,2,1
4,90,4000,no_sleep,2,1
4,91,4000,no_sleep,2,1
4,92,4000,no_sleep,2,1
4,93,4000,no_sleep,2,1
4,94,4000,no_sleep,2,1
4,95,4000,no_sleep,2,1
4,96,4000,no_sleep,2,1
4,97,4000,no_sleep,2,1
4,98,4000,no_sleep,2,1
4,99,4000,no_sleep,2,1
5,10,4000,no_sleep,3,1
5,11,4000,no_sleep,3,1
5,12,4000,no_sleep,8,1
5,13,4000,no_sleep,5,1
5,14,4000,no_sleep,4,1
5,15,4000,no_sleep,4,1
5,16,4000,no_sleep,4,1
5,17,1600,no_sleep,4,1
5,18,3200,no_sleep,3,1
5,19,3200,no_sleep,2,1
5,20,4000,no_sleep,2,1
5,21,4000,no_sleep,2,1
5,22,4000,no_sleep,2,1
5,23,4000,no_sleep,2,1
5,24,4000,no_sleep,2,1
5,25,4000,no_sleep,2,1
5,26,4000,no_sleep,2,1
5,27,4000,no_sleep,2,1
5,28,4000,no_sleep,2,1
5,29,4000,no_sleep,2,1
5,30,4000,no_sleep,2,1
5,31,4000,no_sleep,2,1
5,32,4000,no_sleep,2,1
5,33,4000,no_sleep,2,1
5,34,4000,no_sleep,2,1
5,35,4000,no_sleep,2,1
5,36,4000,no_sleep,2,1
5,37,4000,no_sleep,2,1
5,38,4000,no_sleep,2,1
5,39,4000,no_sleep,2,1
5,40,4000,no_sleep,2,1
5,41,4000,no_sleep,2,1
5,42,4000,no_sleep,2,1
5,43,4000,no_sleep,2,1
5,44,4000,no_sleep,2,1
5,45,4000,no_sleep,2,1
5,46,4000,no_sleep,2,1
5,47,4000,no_sleep,2,1
5,48,4000,no_sleep,2,1
5,49,4000,no_sleep,2,1
5,50,4000,no_sleep,2,1
5,51,4000,no_sleep,2,1
5,52,4000,no_sleep,2,1
5,53,4000,no_sleep,2,1
5,54,4000,no_sleep,2,1
5,55,4000,no_sleep,2,1
5,56,4000,no_sleep,2,1
5,57,4000,no_sleep,2,1
5,58,4000,no_sleep,2,1
5,59,4000,no_sleep,2,1
5,60,4000,no_sleep,2,1
5,61,4000,no_sleep,2,1
5,62,4000,no_sleep,2,1
5,63,4000,no_sleep,2,1
5,64,4000,no_sleep,2,1
5,65,4000,no_sleep,2,1
5,66,4000,no_sleep,2,1
5,67,4000,no_sleep,2,1
5,68,4000,no_sleep,2,1
5,69,4000,no_sleep,2,1
5,70,4000,no_sleep,2,1
5,71,4000,no_sleep,2,1
5,72,4000,no_sleep,2,1
5,73,4000,no_sleep,2,1
5,74,4000,no_sleep,2,1
5,75,4000,no_sleep,2,1
5,76,4000,no_sleep,2,1
5,77,4000,no_sleep,2,1
5,78,4000,no_sleep,2,1
5,79,4000,no_sleep,2,1
5,80,4000,no_sleep,2,1
5,81,4000,no_sleep,2,1
5,82,4000,no_sleep,2,1
5,83,4000,no_sleep,2,1
5,84,4000,no_sleep,2,1
5,85,4000,no_sleep,2,1
5,86,4000,no_sleep,2,1
5,87,4000,no_sleep,2,1
5,88,4000,no_sleep,2,1
5,89,4000,no_sleep,2,1
5,90,4000,no_sleep,2,1
5,91,4000,no_sleep,2,1
5,92,4000,no_sleep,2,1
5,93,4000,no_sleep,2,1
5,94,4000,no_sleep,2,1
5,95,4000,no_sleep,2,1
5,96,4000,no_sleep,2,1
5,97,4000,no_sleep,2,1
5,98,4000,no_sleep,2,1
5,99,4000,no_sleep,2,1
6,10,4000,no_sleep,3,1
6,11,4000,no_sleep,3,1
6,12,3200,no_sleep,9,1
6,13,3200,no_sleep,6,1
6,14,3200,no_sleep,5,1
6,15,4000,no_sleep,4,1
6,16,4000,no_sleep,4,1
6,17,4000,no_sleep,4,1
6,18,4000,no_sleep,4,1
6,19,4000,no_sleep,4,1
6,20,4000,no_sleep,2,1
6,21,4000,no_sleep,2,1
6,22,4000,no_sleep,2,1
6,23,4000,no_sleep,2,1
6,24,4000,no_sleep,2,1
6,25,4000,no_sleep,2,1
6,26,4000,no_sleep,2,1
6,27,4000,no_sleep,2,1
6,28,4000,no_sleep,2,1
6,29,4000,no_sleep,2,1
6,30,4000,no_sleep,2,1
6,31,4000,no_sleep,2,1
6,32,4000,no_sleep,2,1
6,33,4000,no_sleep,2,1
6,34,4000,no_sleep,2,1
6,35,4000,no_sleep,2,1
6,36,4000,no_sleep,2,1
6,37,4000,no_sleep,2,1
6,38,4000,no_sleep,2,1
6,39,4000,no_sleep,2,1
6,40,4000,no_sleep,2,1
6,41,4000,no_sleep,2,1
6,42,4000,no_sleep,2,1
6,43,4000,no_sleep,2,1
6,44,4000,no_sleep,2,1
6,45,4000,no_sleep,2,1
6,46,4000,no_sleep,2,1
6,47,4000,no_sleep,2,1
6,48,4000,no_sleep,2,1
6,49,4000,no_sleep,2,1
6,50,4000,no_sleep,2,1
6,51,4000,no_sleep,2,1
6,52,4000,no_sleep,2,1
6,53,4000,no_sleep,2,1
6,54,4000,no_sleep,2,1
6,55,4000,no_sleep,2,1
6,56,4000,no_sleep,2,1
6,57,4000,no_sleep,2,1
6,58,4000,no_sleep,2,1
6,59,4000,no_sleep,2,1
6,60,4000,no_sleep,2,1
6,61,4000,no_sleep,2,1
6,62,4000,no_sleep,2,1
6,63,4000,no_sleep,2,1
6,64,4000,no_sleep,2,1
6,65,4000,no_sleep,2,1
6,66,4000,no_sleep,2,1
6,67,4000,no_sleep,2,1
6,68,4000,no_sleep,2,1
6,69,4000,no_sleep,2,1
6,70,4000,no_sleep,2,1
6,71,4000,no_sleep,2,1
6,72,4000,no_sleep,2,1
6,73,4000,no_sleep,2,1
6,74,4000,no_sleep,2,1
